,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,cap malheureux,-19.9842,57.6142,72.46,67,2,8.01,MU,1627791864
339,lerwick,60.1545,-1.1494,50.0,80,83,18.37,GB,1627791865
340,gashua,12.871,11.0482,79.84,69,91,9.51,NG,1627791865
341,ambilobe,-13.2,49.05,65.3,60,4,3.58,MG,1627791865
342,gazanjyk,39.2446,55.5154,87.49,9,97,5.12,TM,1627791866
343,madang,-5.2246,145.7966,84.42,67,68,6.73,PG,1627791867
344,okha,53.5739,142.9478,57.0,72,90,7.52,RU,1627791867
345,bulgan,48.8125,103.5347,65.88,68,100,5.73,MN,1627791867
346,rennes,48.1667,-1.6667,55.44,100,76,3.44,FR,1627791637
347,bonthe,7.5264,-12.505,74.5,91,100,5.21,SL,1627791868
348,paamiut,61.994,-49.6678,44.17,88,79,1.77,GL,1627791869
349,dustlik,40.5247,68.0358,88.66,15,16,10.36,UZ,1627791869
350,lata,40.1629,-8.3327,58.82,98,26,2.1,PT,1627791870
351,rivera,-30.9053,-55.5508,45.39,87,2,2.55,UY,1627791870
352,naze,28.3667,129.4833,86.92,85,91,13.6,JP,1627791871
353,saint-pierre,-21.3393,55.4781,71.24,58,20,6.91,RE,1627791871
354,oranjemund,-28.55,16.4333,65.64,26,1,7.61,NA,1627791871
355,asfi,32.2994,-9.2372,65.39,80,0,17.6,MA,1627791872
356,biak,-0.9131,122.8766,82.09,73,34,7.34,ID,1627791872
357,conde,-7.2597,-34.9075,72.86,94,75,6.91,BR,1627791873
358,dakar,14.6937,-17.4441,79.68,84,88,13.58,SN,1627791725
359,zyryanovsk,49.7386,84.2719,74.21,38,58,2.66,KZ,1627791874
360,price,39.5994,-110.8107,68.41,77,90,8.05,US,1627791874
361,praia da vitoria,38.7333,-27.0667,71.85,83,75,10.98,PT,1627791875
362,pacifica,37.6138,-122.4869,71.71,86,20,11.01,US,1627791875
363,sorland,67.667,12.6934,49.24,72,100,12.71,NO,1627791876
364,belmonte,-15.8631,-38.8828,63.1,78,100,11.54,BR,1627791876
